iter	Passed	Remaining
559	19197	15083
560	19224	15044
561	19256	15007
562	19286	14970
563	19312	14929
564	19347	14895
565	19368	14851
566	19397	14813
567	19418	14769
568	19446	14730
569	19471	14689
570	19492	14644
571	19518	14604
572	19551	14570
573	19588	14537
574	19618	14500
575	19643	14459
576	19670	14420
577	19695	14379
578	19714	14334
579	19739	14294
580	19770	14257
581	19790	14213
582	19822	14178
583	19848	14138
584	19876	14100
585	19900	14059
586	19918	14014
587	19941	13972
588	19963	13930
589	19988	13890
590	20008	13846
591	20031	13805
592	20050	13761
593	20069	13717
594	20092	13676
595	20115	13635
596	20137	13593
597	20161	13553
598	20195	13519
599	20213	13475
600	20236	13434
601	20255	13391
602	20277	13349
603	20305	13313
604	20332	13274
605	20353	13232
606	20371	13189
607	20400	13152
608	20430	13117
609	20446	13072
610	20466	13030
611	20487	12989
612	20514	12951
613	20539	12912
614	20552	12866
615	20573	12825
616	20603	12789
617	20616	12743
618	20641	12705
619	20675	12671
620	20704	12636
621	20727	12596
622	20743	12552
623	20762	12510
624	20781	12469
625	20799	12426
626	20821	12386
627	20841	12345
628	20860	12303
629	20880	12263
630	20901	12223
631	20926	12185
632	20948	12145
633	20966	12103
634	20985	12062
635	21002	12020
636	21019	11978
637	21042	11939
638	21058	11896
639	21072	11853
640	21089	11811
641	21106	11769
642	21127	11730
643	21147	11690
644	21165	11649
645	21188	11611
646	21207	11570
647	21229	11532
648	21244	11489
649	21266	11451
650	21289	11413
651	21308	11373
652	21326	11332
653	21345	11292
654	21366	11253
655	21386	11215
656	21403	11174
657	21418	11132
658	21435	11091
659	21451	11050
660	21472	11012
661	21488	10971
662	21508	10932
663	21534	10896
664	21554	10858
665	21580	10822
666	21599	10783
667	21624	10747
668	21645	10709
669	21670	10673
670	21688	10633
671	21706	10595
672	21726	10556
673	21744	10517
674	21768	10481
675	21785	10441
676	21804	10403
677	21821	10363
678	21839	10324
679	21858	10286
680	21881	10250
681	21897	10210
682	21918	10173
683	21938	10135
684	21956	10097
685	21981	10061
686	22002	10024
687	22022	9986
688	22040	9948
689	22056	9909
690	22076	9871
691	22097	9835
692	22121	9799
693	22140	9762
694	22164	9726
695	22190	9692
696	22212	9656
697	22233	9619
698	22255	9583
699	22273	9545
700	22292	9508
701	22307	9469
702	22322	9430
703	22339	9392
704	22359	9355
705	22378	9319
706	22393	9280
707	22408	9242
708	22424	9203
709	22439	9165
710	22460	9129
711	22481	9093
712	22498	9056
713	22515	9018
714	22536	8983
715	22557	8947
716	22580	8912
717	22606	8878
718	22622	8841
719	22644	8806
720	22668	8771
721	22692	8737
722	22710	8701
723	22737	8667
724	22753	8630
725	22773	8594
726	22794	8559
727	22814	8523
728	22835	8488
729	22855	8453
730	22873	8417
731	22891	8380
732	22915	8346
733	22934	8311
734	22951	8274
735	22981	8243
736	23003	8208
737	23028	8175
738	23047	8139
739	23069	8105
740	23091	8070
741	23113	8036
742	23132	8001
743	23158	7968
744	23182	7934
745	23201	7899
746	23221	7864
747	23240	7829
748	23263	7796
749	23284	7761
750	23301	7725
751	23315	7689
752	23332	7653
753	23352	7619
754	23369	7583
755	23392	7549
756	23413	7515
757	23433	7481
758	23450	7445
759	23469	7411
760	23493	7378
761	23512	7343
762	23533	7309
763	23551	7275
764	23566	7239
765	23583	7204
766	23602	7169
767	23620	7135
768	23640	7101
769	23659	7067
770	23683	7034
771	23703	7000
772	23717	6965
773	23742	6932
774	23771	6901
775	23796	6869
776	23817	6835
777	23837	6801
778	23850	6766
779	23878	6735
780	23895	6700
781	23923	6669
782	23944	6635
783	23963	6602
784	23988	6570
785	24010	6537
786	24033	6504
787	24055	6471
788	24080	6439
789	24097	6405
790	24115	6371
791	24131	6337
792	24145	6302
793	24161	6268
794	24183	6236
795	24201	6202
796	24216	6168
797	24239	6135
798	24264	6104
799	24283	6070
800	24301	6037
801	24322	6004
802	24342	5971
803	24359	5938
804	24381	5906
805	24401	5873
806	24420	5840
807	24445	5808
808	24463	5775
809	24488	5744
810	24510	5712
811	24523	5677
812	24542	5644
813	24561	5612
814	24579	5579
815	24597	5546
816	24619	5514
817	24635	5481
818	24657	5449
819	24675	5416
820	24694	5384
821	24712	5351
822	24733	5319
823	24754	5287
824	24772	5254
825	24786	5221
826	24810	5190
827	24829	5157
828	24856	5127
829	24877	5095
830	24900	5064
831	24923	5032
832	24941	5000
833	24959	4967
834	24976	4935
835	25001	4904
836	25018	4872
837	25034	4839
838	25052	4807
839	25072	4775
840	25088	4743
841	25104	4710
842	25120	4678
843	25135	4645
844	25149	4613
845	25166	4581
846	25182	4548
847	25195	4516
848	25211	4484
849	25232	4452
850	25252	4421
851	25269	4389
852	25287	4357
853	25304	4326
854	25322	4294
855	25339	4262
856	25358	4231
857	25374	4199
858	25392	4168
859	25411	4136
860	25426	4104
861	25444	4073
862	25464	4042
863	25481	4010
